wallet_id,score
0xcf0033bf27804640e5339e06443e208db5870dd2,297.87
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,414.89
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,53.19
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,723.4
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,425.53
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,797.87
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,308.51
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,627.66
0xebb8629e8a3ec86cf90cb7600264415640834483,808.51
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,574.47
0xf10fd8921019615a856c1e95c7cd3632de34edc4,21.28
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,1000.0
0xf54f36bca969800fd7d63a68029561309938c09b,457.45
0xf67e8e5805835465f7eba988259db882ab726800,521.28
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,85.11
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,404.26
